"","id","title","cartoonist","genre","last_episode","week_rank","week"
"1","648419","뷰티풀 군바리","설이 / 윤성원","스토리, 드라마",273,"1","mon"
"2","758037","참교육","채용택 / 한가람","스토리, 액션",6,"2","mon"
"3","602910","윈드브레이커","조용석","스토리, 스포츠",340,"3","mon"
"4","654774","소녀의 세계","모랑지","스토리, 드라마",249,"4","mon"
"5","733074","백수세끼","치즈","스토리, 드라마",66,"5","mon"
"6","754781","바이러스X","준 / 하랑","스토리, 스릴러",8,"6","mon"
"7","728750","장씨세가 호위무사","조형근 / 김인호","스토리, 시대극",82,"7","mon"
"8","749632","파이게임","배진수","스토리, 스릴러",23,"8","mon"
"9","759940","만렙돌파","성불예정,홍실 / 미노","스토리, 판타지",3,"9","mon"
"10","739115","앵무살수","김성진","스토리, 판타지",45,"10","mon"
"11","709731","유일무이 로맨스","두부","스토리, 로맨스",116,"11","mon"
"12","730174","칼가는 소녀","오리","에피소드, 드라마",75,"12","mon"
"13","703849","요리GO","HO9","스토리, 드라마",112,"13","mon"
"14","716857","오늘의 순정망화","손하기","에피소드, 개그",266,"14","mon"
"15","21815","히어로메이커","빤쓰","옴니버스, 판타지",0,"15","mon"
"16","741891","결혼생활 그림일기","은꼼지","옴니버스, 일상",41,"16","mon"
"17","753858","싸이코 리벤지","기송 / 넴가","스토리, 액션",15,"17","mon"
"18","738809","아는 여자애","허니비","스토리, 로맨스",50,"18","mon"
"19","752414","리턴 투 플레이어","인덱스 / 세혼","스토리, 판타지",16,"19","mon"
"20","698888","이것도 친구라고","제야","스토리, 드라마",170,"20","mon"
"21","726212","삶이 우리를 속일지라도","김지수","스토리, 로맨스",89,"21","mon"
"22","752350","왕따협상","아이아리","스토리, 드라마",12,"22","mon"
"23","743031","사장님을 잠금해제","박성현","스토리, 개그",36,"23","mon"
"24","756790","보살님이 캐리해!","성코 / 콩자","스토리, 액션",6,"24","mon"
"25","747273","침범","공세리 / 영영이","스토리, 스릴러",18,"25","mon"
"26","687915","꿈의 기업","문지현","스토리, 스릴러",211,"26","mon"
"27","745474","서브 콤플렉스","소이","에피소드, 로맨스",29,"27","mon"
"28","744320","와이키키 뱀파이어","요니요니","스토리, 드라마",34,"28","mon"
"29","706590","피플","서승준 / 손창균","스토리, 드라마",141,"29","mon"
"30","733078","정보전사 202휴재","이작가","스토리, 액션",64,"30","mon"
"31","728007","도플갱어의 게임","킹스날 / 쥐주","스토리, 스릴러",43,"31","mon"
"32","752413","이중첩자","피숙혜 / 옆집찰스","스토리, 시대극",10,"32","mon"
"33","746786","두근두근 네가 좋아서","서혜은 / 박래모","스토리, 로맨스",30,"33","mon"
"34","752530","원하는 건 너 하나","달콤J,박성실 / sage","스토리, 로맨스",20,"34","mon"
"35","689845","부산스런 웹툰","김호드, 김명현","에피소드, 드라마",0,"35","mon"
"36","754484","안녕 나의 모모로","켄타","스토리, 감성",11,"36","mon"
"37","738488","지구멸망버튼","박장고 / 신동구","스토리, 액션",51,"37","mon"
"38","730391","하슬라","까를로스 / 유상진","스토리, 액션",74,"38","mon"
"39","734399","여기 악마가 있어","맷집왕","스토리, 드라마",63,"39","mon"
"40","721455","뱀파이어의 꽃","카나리아 / 동물","스토리, 로맨스",86,"40","mon"
"41","754872","헬로맨스","이공주 / 하얀독수리","스토리, 로맨스",16,"41","mon"
"42","733770","인간의 온도","이재익 / 양세준","스토리, 드라마",53,"42","mon"
"43","750493","드로잉 레시피","꼬모소이","스토리, 감성",21,"43","mon"
"44","737378","블루투스","국승원","스토리, 판타지",52,"44","mon"
"45","734918","모락모락 왕세자님","원해","스토리, 로맨스",62,"45","mon"
"46","745654","백호랑","박혬","스토리, 판타지",32,"46","mon"
"47","597478","평범한 8반휴재","영파카","스토리, 드라마",0,"47","mon"
"48","744375","결백한 사람은 없다휴재","서각","스토리, 드라마",0,"48","mon"
